,T2M_MAX,T2M_MIN,PRECTOTCORR,GWETROOT,EVPTRNS,ALLSKY_SFC_PAR_TOT
20020101,8.2,-0.38,0.02,0.77,0.03,35.38
20020102,6.91,-2.93,0.01,0.76,0.0,63.27
20020103,7.3,-5.19,0.0,0.76,0.05,69.54
20020104,11.4,-3.55,4.33,0.76,0.04,47.09
20020105,14.68,4.74,13.23,0.78,0.15,25.47
20020106,16.55,0.63,0.0,0.78,0.32,72.76
20020107,14.96,0.18,0.8,0.77,0.27,74.27
20020108,17.75,0.37,0.29,0.77,0.31,72.59
20020109,20.99,7.33,0.0,0.77,0.42,73.48
20020110,20.36,10.96,0.01,0.77,0.22,43.51
20020111,13.18,7.37,0.13,0.77,0.09,48.77
20020112,18.39,3.43,0.0,0.77,0.43,77.45
20020113,18.1,1.31,0.0,0.76,0.38,77.21
20020114,17.53,4.51,0.0,0.76,0.43,78.61
20020115,17.55,1.01,0.0,0.75,0.41,77.84
20020116,21.51,6.45,0.02,0.75,0.38,49.74
20020117,23.38,9.69,0.1,0.75,0.35,32.87
20020118,15.73,6.19,0.34,0.75,0.18,23.12
20020119,14.96,2.72,0.22,0.74,0.35,72.36
20020120,14.29,1.4,0.0,0.74,0.15,66.48
20020121,19.83,2.41,0.0,0.74,0.43,74.81
20020122,24.15,8.96,0.33,0.73,0.39,23.31
20020123,25.55,16.65,0.66,0.73,0.54,36.16
20020124,18.03,6.23,1.45,0.73,0.03,28.6
20020125,15.26,2.15,0.0,0.73,0.39,85.4
20020126,17.53,4.24,0.01,0.73,0.48,58.03
20020127,19.86,4.28,0.0,0.73,0.5,82.38
20020128,24.98,10.9,0.01,0.73,0.58,44.01
20020129,25.46,17.12,0.03,0.72,0.77,54.87
20020130,24.63,17.53,1.87,0.72,0.57,32.89
20020131,20.38,6.03,4.69,0.73,0.3,50.88
20020201,10.85,2.02,0.05,0.73,0.1,60.22
20020202,12.73,0.13,0.0,0.72,0.28,63.17
20020203,15.17,5.73,0.17,0.72,0.19,35.77
20020204,13.37,7.42,1.04,0.72,0.1,24.74
20020205,7.77,2.63,14.63,0.73,0.0,16.23
20020206,13.14,1.4,0.11,0.74,0.23,46.13
20020207,15.91,0.93,0.0,0.73,0.41,91.73
20020208,17.07,2.11,0.07,0.73,0.43,93.34
20020209,21.97,6.33,0.7,0.73,0.64,88.82
20020210,12.08,2.09,0.0,0.72,0.19,81.65
20020211,13.72,-1.24,0.0,0.72,0.33,96.8
20020212,16.9,1.41,0.0,0.72,0.45,78.95
20020213,18.02,3.15,0.0,0.71,0.53,96.14
20020214,18.85,3.53,0.0,0.71,0.46,86.12
20020215,20.27,7.15,0.0,0.71,0.54,87.91
20020216,14.42,2.18,0.0,0.7,0.16,83.15
20020217,18.54,5.07,0.03,0.7,0.51,85.59
20020218,22.07,8.96,0.78,0.7,0.38,45.5
20020219,24.33,10.01,2.16,0.7,0.55,77.13
20020220,23.22,5.3,0.0,0.7,0.96,103.4
20020221,24.83,6.93,0.27,0.7,0.97,76.59
20020222,17.96,5.58,0.0,0.69,0.69,105.73
20020223,21.46,2.96,0.0,0.68,0.8,106.28
20020224,23.94,6.85,0.0,0.68,0.93,105.15
20020225,22.34,7.06,0.0,0.67,0.84,92.91
20020226,6.69,-3.42,0.0,0.67,0.0,78.35
20020227,9.94,-5.78,0.0,0.67,0.21,106.27
20020228,14.55,-1.15,0.11,0.67,0.25,75.36
20020301,22.44,8.77,1.48,0.67,0.39,24.98
20020302,14.23,-1.1,0.29,0.67,0.0,79.95
20020303,7.66,-4.74,0.0,0.66,0.04,114.04
20020304,14.05,-5.07,0.0,0.66,0.35,115.49
20020305,18.36,-2.88,0.1,0.66,0.47,108.19
20020306,23.4,10.11,0.2,0.66,0.51,79.23
20020307,25.51,11.65,0.03,0.66,0.68,67.49
20020308,24.38,14.2,0.34,0.66,0.31,29.92
20020309,18.26,5.93,0.09,0.65,0.38,119.42
20020310,14.62,1.23,0.43,0.65,0.15,82.32
20020311,20.63,6.83,0.6,0.65,0.16,50.77
20020312,24.18,6.43,0.0,0.65,0.63,118.07
20020313,28.02,6.05,0.0,0.64,0.73,117.26
20020314,29.49,15.23,0.07,0.64,0.59,94.91
20020315,28.23,13.15,0.13,0.63,0.53,70.1
20020316,20.65,9.24,0.12,0.63,0.24,56.36
20020317,26.15,13.16,1.36,0.63,0.19,27.66
20020318,26.83,18.7,1.87,0.63,0.28,51.52
20020319,26.88,19.28,13.68,0.64,0.42,36.14
20020320,21.08,11.08,3.31,0.66,0.67,55.98
20020321,22.39,6.8,0.0,0.65,0.82,129.71
20020322,15.26,1.4,0.02,0.64,0.3,123.51
20020323,23.51,3.16,0.0,0.64,0.53,112.95
20020324,28.22,14.55,0.12,0.63,0.62,90.85
20020325,25.23,9.24,1.01,0.63,0.26,30.74
20020326,19.0,4.09,0.0,0.63,0.29,133.03
20020327,23.92,4.51,0.02,0.62,0.44,125.47
20020328,30.05,10.58,1.33,0.62,0.46,106.67
20020329,25.26,19.14,1.5,0.62,0.11,51.01
20020330,29.2,15.31,6.78,0.63,0.59,73.12
20020331,24.23,12.7,0.05,0.63,0.52,89.14
20020401,28.09,10.26,0.0,0.62,0.61,132.35
20020402,28.93,13.55,0.0,0.62,0.38,103.38
20020403,21.15,11.59,0.0,0.62,0.27,82.07
20020404,21.93,9.46,0.01,0.62,0.22,62.25
20020405,24.69,10.8,0.01,0.61,0.27,71.41
20020406,23.01,13.1,4.44,0.62,0.12,33.48
20020407,26.6,15.57,23.39,0.63,0.21,28.67
20020408,28.83,16.8,16.99,0.68,2.08,127.43
20020409,24.73,12.84,0.17,0.66,1.48,122.41
20020410,25.58,13.64,0.25,0.66,1.07,87.16
20020411,28.28,14.11,0.08,0.65,1.26,132.55
20020412,30.27,15.18,0.24,0.64,1.15,117.27
20020413,29.55,14.96,0.37,0.63,0.86,119.07
20020414,29.44,16.64,0.24,0.63,0.66,78.91
20020415,30.81,19.34,0.38,0.62,0.58,97.43
20020416,29.45,21.0,1.59,0.62,0.3,101.64
20020417,31.57,20.24,0.09,0.62,0.6,107.51
20020418,32.13,20.63,0.01,0.62,0.51,93.34
20020419,31.6,20.69,0.01,0.62,0.38,89.07
20020420,33.27,21.25,0.01,0.61,0.43,100.59
20020421,33.62,21.48,0.1,0.61,0.36,61.85
20020422,31.19,20.42,0.01,0.6,0.21,96.41
20020423,33.37,20.69,0.0,0.6,0.29,111.24
20020424,35.21,20.93,0.07,0.59,0.25,139.44
20020425,31.19,22.01,1.45,0.59,0.13,80.6
20020426,33.91,20.17,0.23,0.59,0.18,90.05
20020427,36.08,22.12,0.02,0.59,0.15,100.55
20020428,36.83,22.49,0.0,0.59,0.13,120.59
20020429,37.85,21.34,0.01,0.58,0.1,131.64
20020430,38.62,21.21,0.0,0.58,0.06,135.19
